-75.5,-2.46,14.28
-75.44,-2.3,14.36
-74.81,-2.29,15.01
-75.25,-2.27,14.56
-75.61,-2.34,14.19
-75.4,-2.36,14.4
-75.34,-2.33,14.47
-75.64,-2.31,14.17
-75.35,-2.33,14.46
-75.3,-2.51,14.47
-73.79,-2.31,16.04
-73.08,-2.51,16.72
-73.7,-2.48,16.1
-73.46,-2.42,16.35
-73.79,-2.51,16.0
-73.9,-2.55,15.88
-74.39,-2.54,15.39
-74.3,-2.62,15.47
-73.96,-2.61,15.82
-74.38,-2.56,15.39
-73.92,-2.52,15.87
-74.09,-2.64,15.68
-74.16,-2.54,15.63
-74.26,-2.58,15.52
-74.12,-2.52,15.67
-73.41,-2.55,16.38
-74.05,-2.72,15.71
-74.32,-2.58,15.46
-73.69,-2.66,16.08
-73.88,-2.79,15.87
-74.01,-2.84,15.73
-74.17,-2.77,15.58
-74.02,-2.73,15.73
-73.82,-2.78,15.92
-74.25,-2.76,15.5
-73.81,-2.74,15.94
-73.99,-2.71,15.77
-74.42,-2.8,15.31
-73.69,-2.78,16.05
-74.3,-2.68,15.46
-74.32,-2.74,15.42
-73.6,-2.89,16.13
-74.4,-2.71,15.35
-74.18,-2.76,15.57
-73.9,-2.79,15.84
-74.22,-2.75,15.52
-73.61,-3.15,16.07
-73.8,-2.75,15.95
-74.12,-3.02,15.57
-73.76,-3.0,15.95
-73.04,-2.82,16.71
-73.39,-2.95,16.33
-72.43,-2.95,17.31
-72.84,-2.77,16.93
-72.86,-2.79,16.89
-73.06,-3.15,16.62
-73.41,-3.02,16.3
-73.75,-3.24,15.91
-73.36,-3.16,16.32
-73.62,-2.63,16.15
-74.04,-2.95,15.67
-73.67,-2.91,16.05
-73.81,-3.02,15.89
-73.72,-2.92,16.0
-74.17,-2.79,15.57
-74.4,-2.9,15.32
-74.2,-3.32,15.43
-74.4,-2.82,15.33
-73.5,-3.07,16.19
-73.75,-2.89,15.98
-74.28,-2.84,15.45
-74.1,-2.91,15.61
-73.73,-2.96,15.99
-73.93,-2.93,15.79
-73.94,-2.96,15.77
-73.77,-2.93,15.95
-74.11,-2.82,15.62
-73.86,-3.04,15.83
-74.0,-2.95,15.72
-74.13,-2.97,15.58
-74.01,-2.88,15.72
-74.55,-2.91,15.16
